"rank","name","other_names","population_0","population_1000","population_1500","population_1800","population_1900","population_1950","population_1975","population_2025","max_area","max_density"
"#34.","Agra","",0,0,0,0,0,0,1131351.9999999993,2790456,209,14355.999999999995
"#35.","Ponnani; Kuttippuram; Chavakkad; Guruvayur; Kunnamkulam; Valanchery; Vengad; Thriprayar; Cranganore; Valiyaparambu","",0,0,0,0,0,0,54987.000000000015,2751609,754,4041
"#36.","Bhopal","",0,0,0,0,0,0,520154.00000000047,2599311,249,10681.000000000004
"#37.","Tamluk; Kolaghat; Bagnan","",0,0,0,0,0,0,554799,2451037,889,6041
"#38.","Chandigarh","",0,0,0,0,0,0,614787.0000000003,2417872,344,7029
"#39.","Coimbatore","",0,0,0,0,0,0,1059161.0000000007,2360322,407,8146.999999999998
"#40.","Prayagraj","",0,0,0,0,0,0,1127382,2358995,156,15122
"#41.","Ludhiana","",0,0,0,0,0,0,645582.0000000006,2323217,226,10280
"#42.","Vadodara","",0,0,0,0,0,0,725074.0000000002,2269390,214,10605
"#43.","Madurai","",0,0,0,0,0,0,972149,2184066,219,12151.999999999996
"#44.","Meerut","",0,0,0,0,0,0,895904,2169152,233,10641.000000000007
"#45.","Dhanbad","",0,0,0,0,0,0,909130.0000000008,2078658,298,8223.000000000004
"#46.","Jamshedpur","",0,0,0,0,0,0,777941.9999999995,2007932,161,12472
"#47.","Nashik","",0,0,0,0,0,0,404782.9999999999,1970970,192,10265
"#48.","Brahmanbaria","",0,0,0,0,0,0,477081.0000000004,1945179,557,6433.0000000000055
"#49.","Ahmadâbâd","Ahmedabad, Amdâbâd",0,0,78571,275000,182150,768990,0,0,80.40513651596244,183500.9140767824
"#50.","Bangalore","Bengalûru, Bangalur",0,0,0,50000,180400,741780,0,0,268.1388587726877,18250
"#51.","Bibhutpur; Garhpura; Bithan; Brahmpur; Asho; Khudabandpur; Bibhutpur; Chhorahi; Rusera; Singla; Hasanpur","",0,0,0,0,0,0,0,1869763,607,3630.0000000000027
"#52.","Ranchi","",0,0,0,0,0,0,492543.99999999994,1817833,200,10087.999999999998
"#53.","Aligarh","",0,0,0,0,0,0,748844.9999999997,1694357,106,19544.000000000004
"#54.","Thrissur","",0,0,0,0,0,0,157920,1644796,271,6069
"#55.","Visakhapatnam","",0,0,0,0,0,0,562455.9999999997,1634440,211,9211
"#56.","Jabalpur","",0,0,0,0,0,0,713664,1621135,147,11028
"#57.","Hyderâbâd","Haiderâbâd, Haïder-Abad",0,0,25000,112365,369505,970539,0,0,159.38984573840187,24694.99011292877
"#58.","Bareilly","",0,0,0,0,0,0,652155.0000000002,1609406,165,21036.999999999996
"#59.","Dhulian; Farakka; Aurangabad; Raghunathganj; Jangipur","",0,0,0,0,0,0,201505.99999999988,1566770,268,5846
"#60.","Marhaura; Taraiya","",0,0,0,0,0,0,0,1559315,651,2485.000000000001
"#61.","Rajkot","",0,0,0,0,0,0,578056.0000000005,1553762,130,12825.999999999989
