Area Rank,City,Area Value,Region,"Density Rank, Stadestér",City,Density Value (ihb/ha),Region,"Density Rank, GHSL",City,Density Value (ihb/km^2),Region,Population Rank,City,Population Value,Region
61,Seattle; Bel,1123,northern_america,61,Rostov,961.8897118,eastern_europe_and_russia,61,Kebkabiya,34642,sub_saharan_africa,61,Surat,7100723,indian_subcontinent
62,Accra; Tema,1121,sub_saharan_africa,62,North Vancou,961.3672616,northern_america,62,Shahganj,34590,indian_subcontinent,62,Chengdu; Jin,7095390,eastasia
63,Maharajganj;,1120,indian_subcontinent,63,Krivodol,959.980778,eastern_europe_and_russia,63,Ghatampur,34401,indian_subcontinent,63,"Qâhirah, Al-",6951438,maghreb_egypt
64,Riyadh,1108,middle_east,64,Wicklow,955.5897841,europe,64,Jamame,34397,sub_saharan_africa,64,Alexandria,6931369,maghreb_egypt
65,Onitsha; Nne,1090,sub_saharan_africa,65,Oakland,955.2376764,northern_america,65,Narus,34360,sub_saharan_africa,65,Baghdad,6891722,middle_east
66,Chennai; Tam,1052,indian_subcontinent,66,Santos,953.478981,latin_america,66,Bishan,34355,eastasia,66,Hangzhou; Sh,6874393,eastasia
67,Montreal; La,1020,northern_america,67,Mannheim,953.2981819,europe,67,Longquanyi,34093,eastasia,67,Surabaya; Si,6856993,southeast_asia
68,Nanjing; Luh,1012,eastasia,68,Jaunpur,953.0333806,indian_subcontinent,68,Krishnanagar,33839,indian_subcontinent,68,Pune; Pimpri,6674000,indian_subcontinent
69,Bengaluru,1008,indian_subcontinent,69,Olesnica,952.8894269,europe,69,Filtu,33828,sub_saharan_africa,69,Nairobi,6646257,sub_saharan_africa
70,Bandung; Cim,988,southeast_asia,70,Chorzów,951.3861485,europe,70,Meshkan,33665,middle_east,70,Santiago,6633767,latin_america
71,Lima; Callao,984,latin_america,71,San Marino (,950.3773251,europe,71,Ad Darumah; ,33664,middle_east,71,Abidjan; Abo,6450316,sub_saharan_africa
72,New Taipei; ,972,eastasia,72,Ambâla,948.0270442,indian_subcontinent,72,Jais,33610,indian_subcontinent,72,Amman; Zarqa,6425246,middle_east
73,Khartoum; Om,958,sub_saharan_africa,73,Motherwell,947.6598307,europe,73,Safipur,33423,indian_subcontinent,73,Luxor; New T,6314420,maghreb_egypt
74,Luanda,936,sub_saharan_africa,74,Qabis,946.152563,maghreb_egypt,74,Shinkot,33336,central_asia,74,Sõul,6259111,eastasia
75,Hanoi; T? S?,925,southeast_asia,75,Liège,945.6797024,europe,75,Shahrak,33331,central_asia,75,Kabul; Paghm,6254679,central_asia
76,"Qâhirah, Al-",908.3914928,maghreb_egypt,76,Gällivare,944.2783051,europe,76,Al `Udayn,33267,middle_east,76,Yangon,6190958,southeast_asia
77,Dar es-Salaa,907,sub_saharan_africa,77,Pila,943.2553906,europe,77,Shamsabad,32973,indian_subcontinent,77,Shenyang; Ti,6175250,eastasia
78,Lahore; Shei,898,central_asia,78,Surgidero de,943.0039711,latin_america,78,Jalesar,32806,indian_subcontinent,78,Mumbaî,6035058,indian_subcontinent
79,Hyderabad; S,889,indian_subcontinent,79,Rapperswil,942.7939591,europe,79,Burka,32767,sub_saharan_africa,79,Accra; Tema,5890466,sub_saharan_africa
80,Tamluk; Kola,889,indian_subcontinent,80,Zeila,937.6181822,sub_saharan_africa,80,Kavar,32558,middle_east,80,Beijing,5862646,eastasia
81,Essen; Duisb,880,europe,81,Bogaziliyan,935.2476436,middle_east,81,Nanxi,32537,eastasia,81,Onitsha; Nne,5788296,sub_saharan_africa
82,Chengdu; Jin,880,eastasia,82,Puerto Wilch,934.3262319,latin_america,82,Al Mirqab; A,32474,middle_east,82,Miami; Hiale,5733042,northern_america
83,Portland; Va,877,northern_america,83,Retalhuleu,933.8727531,latin_america,83,Seka,32228,sub_saharan_africa,83,Madrid; M�st,5680137,europe
84,Mesa; Chandl,867,northern_america,84,Lille,931.5261091,europe,84,Hillat Ashat,31850,sub_saharan_africa,84,Faisalabad,5676793,central_asia
85,Dubai; Sharj,854,middle_east,85,Karâchi (agg,930.1901081,central_asia,85,Yenice,31813,middle_east,85,Hefei; Shush,5646049,eastasia
86,Las Vegas; H,851,northern_america,86,Bremen,929.0126461,europe,86,B�tou,31782,sub_saharan_africa,86,Toronto; Mis,5566382,northern_america
87,Karachi,834,central_asia,87,Kalisz,928.7272189,europe,87,Khayran,31550,middle_east,87,Yaound�,5479204,sub_saharan_africa
88,Linyi; Linyi,829,eastasia,88,Kogarah,928.1411056,oceania,88,Pengshui,31492,eastasia,88,Wetter (Ruhr,5462021,europe
89,Tehran; Esla,825,middle_east,89,Ahmadâbâd,925.1763009,indian_subcontinent,89,Nanbu,31289,eastasia,89,Xi'an; Yanta,5427863,eastasia
90,Kampala; Kir,810,sub_saharan_africa,90,Thionville,925.0351604,europe,90,Hamero,31269,sub_saharan_africa,90,Mashhad,5377005,middle_east
91,Durban,807,sub_saharan_africa,91,Caracas,925.0345091,latin_america,91,Amber; Kunda,31234,indian_subcontinent,91,Chicago; Eva,5348728,northern_america
92,Quanzhou; Fe,801,eastasia,92,Siegburg,924.2850098,europe,92,Utraula,31204,indian_subcontinent,92,Paris,5256347,europe
93,Santiago,801,latin_america,93,Van,924.2387167,middle_east,93,Lezhi,31162,eastasia,93,Lucknow; Bar,5214964,indian_subcontinent
