"rank","name","other_names","population_0","population_1000","population_1500","population_1800","population_1900","population_1950","population_1975","population_2025","max_area","max_density"
"#16.","Fortaleza; Caucaia; Maracana�","",0,0,0,0,0,0,1021895.9999999999,3324149,413,8049
"#17.","Salvador; Lauro de Freitas","",0,0,0,0,0,0,1237048.000000001,3305396,323,10233
"#18.","Lima","",0,0,0,53907,120600,770406,0,0,475.4780273046068,18742.63098407485
"#19.","Medell�n; Bello; Medellin","",0,0,0,0,0,0,1924007.0000000002,3215457,233,14118.000000000004
"#20.","Guayaquil; Dur�n","",0,0,0,0,0,0,932543.0000000003,3247674,315,10343
"#21.","Caracas","",0,0,0,0,0,0,2426664.0000000005,2667322,311,10178
"#22.","Guatemala City; Villa Nueva; Mixco; San Jos� Pinula","",0,0,0,0,0,0,1130826.999999999,2900619,470,6296.000000000001
"#23.","Bogotá","",0,0,0,20270,120000,598935,0,0,489.59512995704927,16158.83859616859
"#24.","Porto Alegre; Canoas; Gravata�; Viam�o; Alvorada; Cachoeirinha; Sapucaia do Sul","",0,0,0,0,0,0,1197104.999999999,2763350,599,4672.000000000002
"#25.","Funza","",0,0,20000,26285,180580,1127411,0,0,433.00867709278253,14666.817760821685
"#26.","Cali","",0,0,0,0,0,0,1152296.9999999993,2691616,186.00000000000009,14471
"#27.","Quito; Sangolqui","",0,0,0,0,0,0,635488.9999999998,2605678,380,6857
"#28.","Curitiba; S�o Jos� dos Pinhais; Pinhais; Almirante Tamandar�","",0,0,0,0,0,0,734006.0000000006,2512877,566,4479.000000000001
"#29.","Goi�nia; Aparecida de Goi�nia","",0,0,0,0,0,0,211060.99999999985,2457483,531,4628
"#30.","Buenos Aires","Ciudad de Nuestra Señora Buenos Aires",0,0,0,34856,672374,782132,0,0,356.5747794294009,145061.50156599327
"#31.","Manaus","",0,0,0,0,0,0,366531.9999999999,2368805,272.0000000000001,8709
"#32.","Port-au-Prince; Carrefour; Delmas; P�tion-Ville; Croix-des-Bouquets; Cit� Soleil; Tabarre","",0,0,0,0,0,0,974439,1733378,275,9880.000000000007
